	OG	TSG
BCORL1	-3.1355403606211287	-0.04444966513542765
BCOR_ENST00000378444	-3.1355403606211287	-0.04444966513542765
KIAA1267	-3.1355403606211287	-0.04444966513542765
RASA1_ENST00000456692	-3.1355403606211287	-0.04444966513542765
KMT2D	-3.1355403606211287	-0.04444966513542765
BCOR	-3.1355403606211287	-0.04444966513542765
NF1_ENST00000358273	-3.1355403606211287	-0.04444966513542765
ASXL2_ENST00000435504	-3.1355403606211287	-0.04444966513542765
MLL4	-3.1355403606211287	-0.04444966513542765
ZC3H18	-3.1355403606211287	-0.04444966513542765
TNRC6B_ENST00000454349	-3.1355403606211287	-0.04444966513542765
PDS5B	-3.1355403606211287	-0.04444966513542765
BCL9L_ENST00000392849	-3.1355403606211287	-0.04444966513542765
ZFPM1	-3.1355403606211287	-0.04444966513542765
ZFP36L2	-3.1355403606211287	-0.04444966513542765
USP43	-3.1355403606211287	-0.04444966513542765
TBX3	-3.1355403606211287	-0.04444966513542765
KIAA0182	-3.1355403606211287	-0.04444966513542765
RTN4_ENST00000337526	-3.1355403606211287	-0.04444966513542765
MAP3K1_ENST00000399503	-3.1355403606211287	-0.04444966513542765
NF1	-3.1355403606211287	-0.04444966513542765
RASA1	-3.1355403606211287	-0.04444966513542765
FAT	-3.1355403606211287	-0.04444966513542765
CASP8_ENST00000358485	-3.1355403606211287	-0.04444966513542765
ATRX_ENST00000373344	-3.1355403606211287	-0.04444966513542765
ARID1A	-3.1355403606211287	-0.04444966513542765
MLL2_ENST00000301067	-3.1355403606211287	-0.04444966513542765
STAG2_ENST00000218089	-3.1355403606211287	-0.04444966513542765
RB1_ENST00000267163	-3.1355403606211287	-0.04444966513542765
ASXL1_ENST00000306058	-3.1355403606211287	-0.04444966513542765
CASP8_ENST00000264275	-3.1355403606211287	-0.04444966513542765
TGIF1	-3.0065722751548423	-0.05072601003412022
KDM5C_ENST00000452825	-2.979814398796341	-0.052138137431065025
MBD6	-2.979814398796341	-0.052138137431065025
LARP4B	-2.979814398796341	-0.052138137431065025
KDM6A	-2.979814398796341	-0.052138137431065025
NCOR1_ENST00000395851	-2.979814398796341	-0.052138137431065025
SYCP2	-2.979814398796341	-0.052138137431065025
GRLF1_ENST00000317082	-2.905282371480488	-0.05628820429765491
NOTCH1	-2.8668570134542906	-0.058559005734408656
GATA3	-2.8668570134542906	-0.058559005734408656
TCF7L2	-2.8668570134542906	-0.058559005734408656
MLL3_ENST00000355193	-2.8668570134542906	-0.058559005734408656
CDKN2A_ENST00000498124	-2.8668570134542906	-0.058559005734408656
SOX9	-2.8668570134542906	-0.058559005734408656
PTCH1_ENST00000331920	-2.8668570134542906	-0.058559005734408656
TCF7L2_ENST00000543371	-2.8668570134542906	-0.058559005734408656
CREBBP	-2.8668570134542906	-0.058559005734408656
PTCH1_ENST00000375274	-2.8668570134542906	-0.058559005734408656
NOTCH1_ENST00000277541	-2.8668570134542906	-0.058559005734408656
TCF7L2_ENST00000355717	-2.8668570134542906	-0.058559005734408656
RUNX1	-2.8668570134542906	-0.058559005734408656
ZNF750	-2.8668570134542906	-0.058559005734408656
GRLF1	-2.862701006784345	-0.05881019740249972
NOTCH2	-2.862701006784345	-0.05881019740249972
ZC3H13	-2.862701006784345	-0.05881019740249972
ZMYM3	-2.862701006784345	-0.05881019740249972
USP9X	-2.827706647590055	-0.060969799270072976
ZNF292	-2.827706647590055	-0.060969799270072976
USP9X_ENST00000324545	-2.827706647590055	-0.060969799270072976
BRCA2_ENST00000544455	-2.827706647590055	-0.060969799270072976
ARID1B_ENST00000346085	-2.827706647590055	-0.060969799270072976
BCL9L	-2.827706647590055	-0.060969799270072976
BCL9L_ENST00000334801	-2.827706647590055	-0.060969799270072976
MGA	-2.827706647590055	-0.060969799270072976
ZNF292_ENST00000369577	-2.827706647590055	-0.060969799270072976
PBRM1_ENST00000356770	-2.7554784406647097	-0.06568968353075454
SETD2_ENST00000409792	-2.7554784406647097	-0.06568968353075454
PBRM1_ENST00000296302	-2.7554784406647097	-0.06568968353075454
NF2_ENST00000403999	-2.7554784406647097	-0.06568968353075454
SIN3A	-2.7420161739138673	-0.06661031167432745
WT1	-2.719322193097932	-0.0681925703046828
KDM5C_ENST00000375401	-2.7109390662724335	-0.06878684296838966
KDM6A_ENST00000382899	-2.6464199514680136	-0.07354385559359984
KDM6A_ENST00000377967	-2.6464199514680136	-0.07354385559359984
PKD1L2	-2.6207205068829467	-0.07553252285111252
CDKN2A_ENST00000446177	-2.6207205068829467	-0.07553252285111252
CRIPAK	-2.6207205068829467	-0.07553252285111252
PTCH1_ENST00000430669	-2.6207205068829467	-0.07553252285111252
BCL9_ENST00000234739	-2.6202264664365775	-0.07557129475358945
MLLT4	-2.6202264664365775	-0.07557129475358945
MLLT4_ENST00000392108	-2.6202264664365775	-0.07557129475358945
ATAD2	-2.6202264664365775	-0.07557129475358945
MLLT4_ENST00000366806	-2.6202264664365775	-0.07557129475358945
ZC3H13_ENST00000242848	-2.5611404973487906	-0.08036076850274096
C18orf34_ENST00000383096	-2.5530812229304924	-0.08103810627488137
FAM111B	-2.4772399992130683	-0.08771126863748524
ASTE1	-2.4772399992130683	-0.08771126863748524
LOC168850	-2.4772399992130683	-0.08771126863748524
FUBP1_ENST00000370768	-2.4772399992130683	-0.08771126863748524
MFRP	-2.4772399992130683	-0.08771126863748524
LRCH1	-2.4772399992130683	-0.08771126863748524
RTKN2	-2.4772399992130683	-0.08771126863748524
USP35_ENST00000263311	-2.4772399992130683	-0.08771126863748524
DIEXF	-2.4772399992130683	-0.08771126863748524
ASXL2	-2.4772399992130683	-0.08771126863748524
TFE3_ENST00000336239	-2.4772399992130683	-0.08771126863748524
EIF2AK1	-2.4772399992130683	-0.08771126863748524
ZNF800	-2.4772399992130683	-0.08771126863748524
FUBP1_ENST00000370767	-2.4772399992130683	-0.08771126863748524
ZNF14	-2.4772399992130683	-0.08771126863748524
SCLT1_ENST00000281142	-2.4772399992130683	-0.08771126863748524
BCOR_ENST00000378463	-2.4772399992130683	-0.08771126863748524
SCLT1	-2.4772399992130683	-0.08771126863748524
FUBP1_ENST00000436586	-2.4772399992130683	-0.08771126863748524
XYLT2	-2.4772399992130683	-0.08771126863748524
TSC2_ENST00000219476	-2.4682312004276596	-0.08854120664833869
NIPBL_ENST00000448238	-2.455037561365231	-0.08977151397047926
AKAP9_ENST00000356239	-2.455037561365231	-0.08977151397047926
NIPBL	-2.455037561365231	-0.08977151397047926
ATM_ENST00000278616	-2.4492698167039872	-0.09031495833207587
CNTN6	-2.448901202383654	-0.09034980640270497
RBMX	-2.448901202383654	-0.09034980640270497
NPM1	-2.445650361521828	-0.09065774407451518
KLF3	-2.4083973932944094	-0.09426600856318798
LMAN1	-2.4083973932944094	-0.09426600856318798
PRRG1	-2.4083973932944094	-0.09426600856318798
TAF1B	-2.4083973932944094	-0.09426600856318798
STK11_ENST00000326873	-2.4083973932944094	-0.09426600856318798
UQCC	-2.4083973932944094	-0.09426600856318798
NIPA2	-2.4083973932944094	-0.09426600856318798
QKI	-2.4083973932944094	-0.09426600856318798
ARL13B_ENST00000394222	-2.4083973932944094	-0.09426600856318798
SLC23A2	-2.4083973932944094	-0.09426600856318798
DDX39B	-2.4083973932944094	-0.09426600856318798
PSIP1_ENST00000380733	-2.4083973932944094	-0.09426600856318798
ERRFI1	-2.4083973932944094	-0.09426600856318798
RNF128_ENST00000324342	-2.4083973932944094	-0.09426600856318798
EIF2AK1_ENST00000536084	-2.4083973932944094	-0.09426600856318798
IFNGR1	-2.4083973932944094	-0.09426600856318798
CDKL2	-2.4083973932944094	-0.09426600856318798
TTK_ENST00000369798	-2.3935970046429245	-0.09574102450051415
TTK	-2.3935970046429245	-0.09574102450051415
SMARCC2	-2.3935970046429245	-0.09574102450051415
IWS1	-2.3935970046429245	-0.09574102450051415
STAU2_ENST00000521210	-2.3935970046429245	-0.09574102450051415
STAU2_ENST00000524300	-2.3935970046429245	-0.09574102450051415
COBL_ENST00000395542	-2.3910084538318315	-0.09600147745914303
PKD1L2_ENST00000525539	-2.3910084538318315	-0.09600147745914303
FIP1L1_ENST00000337488	-2.3901701368275927	-0.0960859858458949
ZFP36L1	-2.3901701368275927	-0.0960859858458949
TNRC6B_ENST00000301923	-2.3901701368275927	-0.0960859858458949
COBL	-2.3888158612798396	-0.09622267143857424
RAPGEF6_ENST00000509018	-2.3763530994132798	-0.09749014231456687
CHD2_ENST00000394196	-2.3731580225916886	-0.09781789695806603
FANCM	-2.352703593057867	-0.09994373631366664
AKAP9	-2.352703593057867	-0.09994373631366664
KMT2A	-2.352703593057867	-0.09994373631366664
IFI16	-2.351441833163268	-0.10007645081483606
NAGPA	-2.3301068058271457	-0.10234878424587839
PRR11	-2.3301068058271457	-0.10234878424587839
TRIT1	-2.3301068058271457	-0.10234878424587839
LARP7	-2.3301068058271457	-0.10234878424587839
C16orf88	-2.3301068058271457	-0.10234878424587839
ZNF548_ENST00000336128	-2.3301068058271457	-0.10234878424587839
PAX6	-2.3301068058271457	-0.10234878424587839
EGR1_ENST00000239938	-2.3291772256718617	-0.10244901649240357
ESRP1	-2.3291772256718617	-0.10244901649240357
SLC22A9	-2.3291772256718617	-0.10244901649240357
WAC	-2.3291772256718617	-0.10244901649240357
DUSP16	-2.3291772256718617	-0.10244901649240357
ASB10_ENST00000422024	-2.3291772256718617	-0.10244901649240357
GRB14	-2.3291772256718617	-0.10244901649240357
TBC1D23_ENST00000394144	-2.3268904089026496	-0.10269603295762039
HDAC2	-2.3268904089026496	-0.10269603295762039
ACIN1_ENST00000338631	-2.3268904089026496	-0.10269603295762039
C18orf34	-2.3267475967152875	-0.10271147996282129
NFE2L3	-2.3267475967152875	-0.10271147996282129
RPS6KA3	-2.3267475967152875	-0.10271147996282129
CTNND1	-2.3267475967152875	-0.10271147996282129
SYCP1	-2.3267475967152875	-0.10271147996282129
CHIT1	-2.3267475967152875	-0.10271147996282129
USP28	-2.3267475967152875	-0.10271147996282129
CASP5_ENST00000393141	-2.3267475967152875	-0.10271147996282129
DDX27	-2.3267475967152875	-0.10271147996282129
ZNF439	-2.3267475967152875	-0.10271147996282129
RBM33	-2.3061236680002324	-0.10496811247715472
SMC6	-2.3061236680002324	-0.10496811247715472
HDAC2_ENST00000398283	-2.3061236680002324	-0.10496811247715472
USP35	-2.3061236680002324	-0.10496811247715472
SLC35F5	-2.3061236680002324	-0.10496811247715472
GRK4_ENST00000398052	-2.3061236680002324	-0.10496811247715472
LARP1	-2.3061236680002324	-0.10496811247715472
ADAMTSL4_ENST00000369041	-2.3061236680002324	-0.10496811247715472
ADAMTSL4_ENST00000369039	-2.3061236680002324	-0.10496811247715472
SCAF4	-2.3061236680002324	-0.10496811247715472
RBM27	-2.3061236680002324	-0.10496811247715472
ADNP	-2.3061236680002324	-0.10496811247715472
CDH24	-2.3061236680002324	-0.10496811247715472
TCEB3	-2.3061236680002324	-0.10496811247715472
PHF14	-2.3061236680002324	-0.10496811247715472
LARP1_ENST00000336314	-2.3061236680002324	-0.10496811247715472
ACIN1	-2.3061236680002324	-0.10496811247715472
GOLGA2	-2.3061236680002324	-0.10496811247715472
SLC17A2_ENST00000377850	-2.3061236680002324	-0.10496811247715472
ATF7IP	-2.3061236680002324	-0.10496811247715472
CCT3	-2.2773291054339952	-0.10820651969222998
MVK	-2.2654412142158313	-0.10957408401351852
TMBIM4	-2.2654412142158313	-0.10957408401351852
CTH	-2.2654412142158313	-0.10957408401351852
PNISR	-2.262624121235903	-0.10990082438572298
BMPR2	-2.262624121235903	-0.10990082438572298
PHACTR4	-2.262624121235903	-0.10990082438572298
SEC63	-2.262624121235903	-0.10990082438572298
CR1	-2.260947439160897	-0.11009578251289424
YLPM1_ENST00000325680	-2.260947439160897	-0.11009578251289424
STAU2	-2.2566385891486322	-0.11059847629785632
FETUB	-2.2566385891486322	-0.11059847629785632
ELF3_ENST00000359651	-2.2566385891486322	-0.11059847629785632
ELF3	-2.2566385891486322	-0.11059847629785632
ICA1	-2.254378769848462	-0.11086308772725953
COBLL1	-2.254378769848462	-0.11086308772725953
NFATC4	-2.2536496833905595	-0.11094860205715686
MCM7	-2.2536496833905595	-0.11094860205715686
SPRED2	-2.25139660080122	-0.11121330616232422
DNAJC11	-2.2477992229773154	-0.11163732946567008
FAM151A	-2.2477992229773154	-0.11163732946567008
ARFGAP3	-2.2477992229773154	-0.11163732946567008
TRAF3	-2.2477992229773154	-0.11163732946567008
NFATC4_ENST00000556279	-2.2477992229773154	-0.11163732946567008
SLC22A4	-2.2477992229773154	-0.11163732946567008
FXR2	-2.2477992229773154	-0.11163732946567008
CNTRL_ENST00000373855	-2.244671818438125	-0.11200734535074745
C14orf39	-2.237240315208436	-0.11289180705316977
TRDN	-2.237240315208436	-0.11289180705316977
ZNF527	-2.237240315208436	-0.11289180705316977
GIGYF2	-2.2351809146218855	-0.11313821163107585
GIGYF2_ENST00000409451	-2.2351809146218855	-0.11313821163107585
RNF6	-2.2351809146218855	-0.11313821163107585
SEC31A_ENST00000432794	-2.2351809146218855	-0.11313821163107585
C15orf52	-2.2351809146218855	-0.11313821163107585
SMARCC2_ENST00000267064	-2.2351809146218855	-0.11313821163107585
MAP7D1	-2.2351809146218855	-0.11313821163107585
RBM5	-2.2351809146218855	-0.11313821163107585
ZC3H11A	-2.2322553679083468	-0.1134892279035785
FBXW7_ENST00000534231	-2.228867263372303	-0.11389718347361558
FBXW7_ENST00000296555	-2.228867263372303	-0.11389718347361558
FBXW7_ENST00000281708	-2.22187037944692	-0.11474458466828721
