	OG	TSG
ATM_ENST00000278616	-inf	0.0
TCF7L2_ENST00000355717	-inf	0.0
STAG2_ENST00000218089	-inf	0.0
PTCH1_ENST00000375274	-inf	0.0
NCOR1_ENST00000395851	-inf	0.0
MBD6	-inf	0.0
PTCH1_ENST00000430669	-inf	0.0
KIAA1267	-inf	0.0
NF1_ENST00000358273	-inf	0.0
CREBBP	-inf	0.0
MLL3_ENST00000355193	-inf	0.0
NOTCH1	-inf	0.0
LARP4B	-inf	0.0
NF1	-inf	0.0
PBRM1_ENST00000296302	-inf	0.0
USP43	-inf	0.0
ATRX_ENST00000373344	-inf	0.0
TET2_ENST00000305737	-inf	0.0
KDM5C_ENST00000452825	-inf	0.0
KDM6A	-inf	0.0
SIN3A	-inf	0.0
ZC3H18	-inf	0.0
PTCH1_ENST00000331920	-inf	0.0
C18orf34_ENST00000383096	-inf	0.0
NOTCH1_ENST00000277541	-inf	0.0
ARID1A	-inf	0.0
PBRM1_ENST00000356770	-inf	0.0
TCF7L2_ENST00000543371	-6.030685260261263	-0.0024067400305649764
GRLF1_ENST00000317082	-6.030685260261263	-0.0024067400305649764
BCOR_ENST00000378444	-6.030685260261263	-0.0024067400305649764
ZC3H13	-6.030685260261263	-0.0024067400305649764
MLL4	-6.030685260261263	-0.0024067400305649764
KMT2D	-6.030685260261263	-0.0024067400305649764
MLL2_ENST00000301067	-6.030685260261263	-0.0024067400305649764
CRIPAK	-6.030685260261263	-0.0024067400305649764
SOX9	-6.030685260261263	-0.0024067400305649764
RUNX1	-6.030685260261263	-0.0024067400305649764
ZFP36L2	-6.030685260261263	-0.0024067400305649764
FAT	-6.030685260261263	-0.0024067400305649764
TNRC6B_ENST00000454349	-6.030685260261263	-0.0024067400305649764
MAP3K1_ENST00000399503	-6.030685260261263	-0.0024067400305649764
CASP8_ENST00000358485	-6.030685260261263	-0.0024067400305649764
BCOR	-6.030685260261263	-0.0024067400305649764
GRLF1	-6.030685260261263	-0.0024067400305649764
RB1_ENST00000267163	-6.030685260261263	-0.0024067400305649764
KIAA0182	-6.030685260261263	-0.0024067400305649764
FAM123B_ENST00000330258	-6.030685260261263	-0.0024067400305649764
NOTCH2	-6.030685260261263	-0.0024067400305649764
TCF7L2	-6.030685260261263	-0.0024067400305649764
TBX3	-6.030685260261263	-0.0024067400305649764
ZMYM3	-6.030685260261263	-0.0024067400305649764
ASXL2_ENST00000435504	-6.030685260261263	-0.0024067400305649764
